text,sentiment
I would like you to install the yellow wire.,neutral
The yellow wire.,neutral
"Sorry about that, install the brown wire.",neutral
Please install the purple wire.,neutral
Please install the white wire.,neutral
The blue wire.,neutral
The green wire.,neutral
The brown wire.,neutral
Please install the purple wire.,neutral
"Sorry about that, install the purple wire.",neutral
"Sorry about that, install the brown wire.",neutral
"Sorry about that, install the black wire.",neutral
The purple wire.,neutral
"Sorry about that, install the yellow wire.",neutral
Please install the brown wire.,neutral
Please install the yellow wire.,neutral
I would like you to install the black wire.,neutral
"Sorry about that, install the orange wire.",neutral
The blue wire.,neutral
I would like you to install the black wire.,neutral
"Sorry about that, install the orange wire.",neutral
"Sorry about that, install the blue wire.",neutral
The gray wire.,neutral
The red wire.,neutral
"Sorry about that, install the purple wire.",neutral
Please install the blue wire.,neutral
Please install the black wire.,neutral
"Sorry about that, install the white wire.",neutral
I would like you to install the black wire.,neutral
Please install the white wire.,neutral
I would like you to install the orange wire.,neutral
I would like you to install the purple wire.,neutral
"Sorry about that, install the white wire.",neutral
I would like you to install the purple wire.,neutral
Please install the orange wire.,neutral
Please install the brown wire.,neutral
I would like you to install the gray wire.,neutral
"Sorry about that, install the white wire.",neutral
The red wire.,neutral
The black wire.,neutral
The purple wire.,neutral
The gray wire.,neutral
"Sorry about that, install the purple wire.",neutral
The yellow wire.,neutral
The gray wire.,neutral
The purple wire.,neutral
The white wire.,neutral
"Sorry about that, install the blue wire.",neutral
I would like you to install the orange wire.,neutral
The brown wire.,neutral
I would like you to install the green wire.,neutral
The blue wire.,neutral
The red wire.,neutral
Please install the yellow wire.,neutral
The red wire.,neutral
Please install the brown wire.,neutral
"Sorry about that, install the red wire.",neutral
Please install the brown wire.,neutral
"Sorry about that, install the yellow wire.",neutral
"Sorry about that, install the purple wire.",neutral
Please install the black wire.,neutral
I would like you to install the purple wire.,neutral
I would like you to install the orange wire.,neutral
The brown wire.,neutral
I would like you to install the orange wire.,neutral
I would like you to install the white wire.,neutral
The red wire.,neutral
"Sorry about that, install the gray wire.",neutral
"Sorry about that, install the yellow wire.",neutral
Please install the brown wire.,neutral
I would like you to install the yellow wire.,neutral
Please install the red wire.,neutral
Please install the yellow wire.,neutral
"Sorry about that, install the yellow wire.",neutral
I would like you to install the red wire.,neutral
"Sorry about that, install the green wire.",neutral
I would like you to install the brown wire.,neutral
I would like you to install the white wire.,neutral
"Sorry about that, install the red wire.",neutral
The purple wire.,neutral
The gray wire.,neutral
The red wire.,neutral
The gray wire.,neutral
I would like you to install the purple wire.,neutral
I would like you to install the white wire.,neutral
I would like you to install the red wire.,neutral
The red wire.,neutral
The red wire.,neutral
Please install the white wire.,neutral
"Sorry about that, install the red wire.",neutral
"Sorry about that, install the green wire.",neutral
"Sorry about that, install the black wire.",neutral
The white wire.,neutral
"Sorry about that, install the red wire.",neutral
Please install the blue wire.,neutral
"Sorry about that, install the brown wire.",neutral
"Sorry about that, install the yellow wire.",neutral
I would like you to install the gray wire.,neutral
I would like you to install the white wire.,neutral
The orange wire.,neutral
